38 Provinsi,,,,,,
,Produksi Perikanan Tangkap di Laut Menurut Komoditas Utama (Ton),,,,,
,Cakalang,Tongkol,Tuna,Udang,Lainnya,Jumlah Tangkap di Laut
,2024,2024,2024,2024,2024,2024
ACEH,53844,78615,24308,14642,250616,422025
SUMATERA UTARA,16924,25495,5759,39038,293913,381129
SUMATERA BARAT,14110,28805,4275,2813,170021,220025
RIAU,0,329,0,6751,98379,105459
JAMBI,0,0,4,15938,30475,46417
SUMATERA SELATAN,0,3212,0,8247,74908,86367
BENGKULU,1589,6888,1620,15297,59863,85256
LAMPUNG,145,9455,104,4602,176019,190325
KEP. BANGKA BELITUNG,0,9001,0,8586,218451,236039
KEP. RIAU,4,20628,0,9712,308986,339329
DKI JAKARTA,29173,20152,20514,827,131238,201904
JAWA BARAT,1831,30700,933,8332,226282,268077
JAWA TENGAH,16754,19171,6453,4800,481082,528259
DI YOGYAKARTA,927,2036,215,16,3355,6548
JAWA TIMUR,21349,62859,7941,12177,514727,619053
BANTEN,1620,3678,637,4529,63274,73739
BALI,10681,33419,17218,39,66254,127612
NUSA TENGGARA BARAT,3805,15232,1305,1281,99815,121438
NUSA TENGGARA TIMUR,667,2164,1515,113,25859,30318
KALIMANTAN BARAT,38,8905,0,25136,139770,173849
KALIMANTAN TENGAH,0,1828,0,11243,90703,103774
KALIMANTAN SELATAN,1338,8779,0,36186,123492,169796
KALIMANTAN TIMUR,2740,9698,1796,34066,117968,166268
KALIMANTAN UTARA,164,27,152,3713,19455,23510
SULAWESI UTARA,70155,39269,54991,12,171760,336186
SULAWESI TENGAH,24573,44192,5800,460,193218,268243
SULAWESI SELATAN,23608,45177,18761,5241,373886,466673
SULAWESI TENGGARA,19975,16749,16186,903,216639,270452
GORONTALO,6225,27873,19695,0,75572,129365
SULAWESI BARAT,10883,11203,4025,0,45416,71527
MALUKU,17690,44156,24628,4986,307683,399143
MALUKU UTARA,25959,16547,50672,0,225556,318734
PAPUA BARAT,3979,9451,2732,1921,47253,65336
PAPUA BARAT DAYA,5774,8560,6866,3741,60227,85168
PAPUA,23909,16586,45029,586,66817,152927
PAPUA SELATAN,0,12,0,815,14544,15371
PAPUA TENGAH,1321,213,962,267,22484,25247
PAPUA PEGUNUNGAN,0,0,0,0,0,0
INDONESIA,411753,681068,345095,287018,5605957,7330891
